epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.604,2.01545,1.78709,1.88076,0.82993,0.63636,0.70768,0.37176,1.63413,1.54684,1.7422,0.000664407,0.000664407,0.000664407
2,224.618,1.99715,1.48771,1.99353,0.25031,0.54545,0.2186,0.06601,2.43118,3.69499,2.65162,0.00130472,0.00130472,0.00130472
3,619.877,1.96626,1.49227,1.91754,0.91915,0.45455,0.68662,0.37098,1.57052,3.09504,1.85657,0.00191863,0.00191863,0.00191863
4,759.056,1.93698,1.39972,1.89195,0.69377,0.63636,0.8045,0.43911,1.5861,1.21345,2.10432,0.0018812,0.0018812,0.0018812
5,860.338,1.8992,1.2542,1.89365,1,0.81202,0.95643,0.57995,1.53436,1.21899,1.95361,0.0018416,0.0018416,0.0018416
6,962.208,1.89342,1.24052,1.87758,0.9214,0.72727,0.83681,0.43894,1.6137,1.60247,1.91852,0.001802,0.001802,0.001802
7,1063.85,1.82506,1.16873,1.81623,0.87176,0.90909,0.94364,0.536,1.47459,0.92808,1.79526,0.0017624,0.0017624,0.0017624
8,1165.52,1.80671,1.10977,1.83955,1,0.71287,0.76934,0.39186,1.85868,1.56015,2.1616,0.0017228,0.0017228,0.0017228
9,1267.13,1.80935,1.09301,1.82517,0.91525,0.98303,0.9725,0.61173,1.39962,0.75809,1.83578,0.0016832,0.0016832,0.0016832
10,1368.77,1.80039,1.08319,1.81421,0.98244,1,0.995,0.53518,1.55461,1.03006,1.91631,0.0016436,0.0016436,0.0016436
11,1470.17,1.80137,1.04613,1.80802,0.9051,1,0.9875,0.60393,1.25808,0.74409,1.79671,0.001604,0.001604,0.001604
12,1571.62,1.79555,1.03044,1.79019,0.89929,0.81236,0.92,0.54851,1.49549,0.89905,1.86985,0.0015644,0.0015644,0.0015644
13,1673.62,1.76568,0.98763,1.79061,0.95463,0.72727,0.86442,0.57384,1.43084,0.89362,1.70765,0.0015248,0.0015248,0.0015248
14,1775.64,1.73935,0.97143,1.75794,0.78918,0.81818,0.86625,0.50943,1.65343,0.89286,1.94423,0.0014852,0.0014852,0.0014852
15,1876.49,1.7213,0.9589,1.75882,0.75727,0.90909,0.88786,0.50815,1.52978,1.06515,1.86942,0.0014456,0.0014456,0.0014456
16,1976.87,1.70632,0.96905,1.76142,0.98834,0.81818,0.96731,0.58926,1.52135,0.84696,2.02915,0.001406,0.001406,0.001406
17,2078.41,1.70352,0.93119,1.77281,0.83942,1,0.97297,0.56382,1.53275,0.789,1.8812,0.0013664,0.0013664,0.0013664
18,2180.07,1.67376,0.91618,1.74134,0.90645,0.88266,0.8929,0.58119,1.51266,0.77947,1.8339,0.0013268,0.0013268,0.0013268
