epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.803,2.04144,1.69528,2.02288,0.87677,0.81818,0.82155,0.40603,1.89962,1.49463,2.52676,0.000665152,0.000665152,0.000665152
2,357.264,2.0396,1.45207,2.09959,0.75247,0.81818,0.78685,0.29756,2.01057,1.23898,2.65655,0.00130545,0.00130545,0.00130545
3,532.709,2.02059,1.42312,2.08382,0.89531,0.77979,0.93814,0.53046,1.76692,1.12894,2.55917,0.00191934,0.00191934,0.00191934
4,707.6,2.01923,1.39669,2.08599,0.86269,0.57371,0.67988,0.40701,1.90199,1.90392,2.34788,0.0018812,0.0018812,0.0018812
5,881.725,1.94546,1.27746,2.02045,0.96974,0.72727,0.85158,0.40829,2.08445,0.98451,2.62623,0.0018416,0.0018416,0.0018416
6,1057.79,1.90894,1.17161,2.01118,0.88942,0.63636,0.77593,0.42202,1.87719,1.17768,2.49685,0.001802,0.001802,0.001802
7,1230.94,1.90578,1.16276,1.99614,1,0.81156,0.93752,0.5539,1.55716,0.79342,2.16325,0.0017624,0.0017624,0.0017624
8,1391.74,1.88276,1.12101,1.9937,0.78505,1,0.95346,0.52266,1.72884,0.83734,2.27706,0.0017228,0.0017228,0.0017228
9,1553.36,1.85754,1.09041,1.96492,0.98281,0.72727,0.83004,0.4726,1.59383,0.80845,2.18958,0.0016832,0.0016832,0.0016832
10,1721.68,1.82286,1.08744,1.9272,0.9057,0.8752,0.90038,0.47727,1.77908,0.86855,2.32471,0.0016436,0.0016436,0.0016436
11,1881.48,1.78322,1.01057,1.90879,0.99177,0.90909,0.98115,0.5672,1.51448,0.73705,2.11325,0.001604,0.001604,0.001604
12,2033.35,1.79079,1.01013,1.91448,0.91469,0.9763,0.98,0.53759,1.79653,0.82211,2.37642,0.0015644,0.0015644,0.0015644
13,2185.97,1.75401,0.97094,1.88235,0.81197,0.78713,0.82853,0.47759,1.61873,0.87813,2.21923,0.0015248,0.0015248,0.0015248
14,2346.73,1.76735,0.95986,1.90996,0.86742,0.81818,0.93216,0.52718,1.65612,0.77006,2.14014,0.0014852,0.0014852,0.0014852
15,2500.03,1.77341,0.95321,1.89732,0.99899,0.90909,0.97571,0.55744,1.57996,0.78053,2.16298,0.0014456,0.0014456,0.0014456
16,2652.48,1.72622,0.93148,1.86944,0.96822,1,0.995,0.63393,1.31309,0.65168,1.89335,0.001406,0.001406,0.001406
17,2805.03,1.7121,0.92284,1.85565,0.96796,0.72727,0.89204,0.52783,1.62605,0.73685,2.19395,0.0013664,0.0013664,0.0013664
18,2966.09,1.703,0.89782,1.83216,0.84469,1,0.97297,0.58304,1.59868,0.73544,2.08422,0.0013268,0.0013268,0.0013268
19,3125.34,1.69475,0.89378,1.84129,0.98048,1,0.995,0.5696,1.5355,0.68531,2.07572,0.0012872,0.0012872,0.0012872
20,3286.33,1.70131,0.87485,1.82893,0.89866,0.80718,0.93711,0.51468,1.73918,0.73568,2.26141,0.0012476,0.0012476,0.0012476
21,3438.6,1.67369,0.86625,1.81559,1,0.80059,0.94824,0.58076,1.52335,0.75428,2.08509,0.001208,0.001208,0.001208
22,3591.02,1.66046,0.86391,1.80231,1,0.97281,0.995,0.53367,1.72543,0.67457,2.288,0.0011684,0.0011684,0.0011684
23,3743.63,1.65279,0.85594,1.81526,0.81813,0.81794,0.83632,0.44272,1.89207,0.85058,2.48413,0.0011288,0.0011288,0.0011288
24,3895.73,1.69132,0.86725,1.82676,1,0.80276,0.9349,0.51054,1.62299,0.76703,2.24988,0.0010892,0.0010892,0.0010892
25,4047.85,1.62319,0.82011,1.77492,0.98802,1,0.995,0.52886,1.67481,0.66101,2.21644,0.0010496,0.0010496,0.0010496
26,4200.45,1.61238,0.81653,1.78163,1,0.98125,0.995,0.59076,1.48048,0.72213,2.03091,0.00101,0.00101,0.00101
27,4352.97,1.63895,0.81672,1.78252,0.98414,1,0.995,0.61396,1.53985,0.63218,2.13315,0.0009704,0.0009704,0.0009704
28,4505.64,1.62534,0.80503,1.76908,0.97554,1,0.995,0.56983,1.65322,0.62917,2.17219,0.0009308,0.0009308,0.0009308
29,4657.83,1.60154,0.79376,1.77061,0.89985,0.90909,0.96479,0.5934,1.54708,0.55956,2.1421,0.0008912,0.0008912,0.0008912
30,4810.42,1.59552,0.78244,1.75846,0.98082,1,0.995,0.5853,1.63979,0.58802,2.15791,0.0008516,0.0008516,0.0008516
31,4962.25,1.59214,0.77021,1.75226,0.87644,0.90909,0.92399,0.56462,1.58435,0.63185,2.15483,0.000812,0.000812,0.000812
32,5114.54,1.56924,0.76021,1.7346,0.8966,0.90909,0.94364,0.59021,1.52962,0.64973,2.05514,0.0007724,0.0007724,0.0007724
33,5265.91,1.54606,0.76573,1.72021,0.98191,1,0.995,0.59645,1.62808,0.58546,2.27756,0.0007328,0.0007328,0.0007328
34,5418.23,1.551,0.7441,1.71191,0.89028,0.81818,0.89004,0.55804,1.69882,0.65966,2.25385,0.0006932,0.0006932,0.0006932
35,5571.3,1.56823,0.7535,1.73863,0.99053,1,0.995,0.60627,1.54543,0.57981,2.05263,0.0006536,0.0006536,0.0006536
36,5724.17,1.52546,0.73853,1.69726,0.89426,0.90909,0.95869,0.59669,1.57765,0.63607,2.1012,0.000614,0.000614,0.000614
37,5876.81,1.50191,0.71823,1.68282,0.98395,0.90909,0.95,0.59122,1.58023,0.58886,2.09884,0.0005744,0.0005744,0.0005744
38,6029.75,1.51671,0.7284,1.70074,0.99,1,0.995,0.5901,1.55744,0.58127,2.12638,0.0005348,0.0005348,0.0005348
39,6181.92,1.50845,0.7155,1.6831,0.90355,0.90909,0.95869,0.62311,1.5631,0.60587,2.12652,0.0004952,0.0004952,0.0004952
40,6334.31,1.49791,0.69645,1.67516,1,0.99598,0.995,0.5647,1.72759,0.61165,2.29114,0.0004556,0.0004556,0.0004556
41,6521.76,1.48159,0.65802,1.80222,0.98996,1,0.995,0.59112,1.61771,0.58376,2.13728,0.000416,0.000416,0.000416
42,6673.27,1.45269,0.64749,1.79311,0.98602,1,0.995,0.55025,1.61067,0.56858,2.16207,0.0003764,0.0003764,0.0003764
43,6825.53,1.44731,0.63341,1.76735,0.90599,0.90909,0.95,0.62952,1.51143,0.54906,2.1368,0.0003368,0.0003368,0.0003368
44,6978.01,1.42154,0.62783,1.76005,0.98905,1,0.995,0.55971,1.69972,0.55019,2.31057,0.0002972,0.0002972,0.0002972
45,7131.44,1.42085,0.62363,1.74453,0.9089,0.90909,0.94632,0.58026,1.66068,0.59544,2.27093,0.0002576,0.0002576,0.0002576
46,7284.71,1.3971,0.6094,1.73414,1,0.996,0.995,0.59318,1.55245,0.52991,2.20564,0.000218,0.000218,0.000218
47,7437.87,1.38767,0.60897,1.73579,0.90869,0.90513,0.93642,0.5922,1.61406,0.59525,2.31859,0.0001784,0.0001784,0.0001784
48,7590.74,1.37364,0.59305,1.71455,0.89697,0.90909,0.93986,0.60076,1.61011,0.54904,2.37245,0.0001388,0.0001388,0.0001388
49,7743.42,1.35644,0.59094,1.70553,0.90256,0.90909,0.93642,0.60607,1.64904,0.55937,2.43111,9.92e-05,9.92e-05,9.92e-05
50,7896.73,1.34841,0.58832,1.71639,0.90526,0.90909,0.9349,0.6073,1.61724,0.54584,2.39911,5.96e-05,5.96e-05,5.96e-05
